"filename", "language", "Markdown", "JavaScript", "XML", "CSS", "HTML", "SCSS", "JSON", "JavaScript React", "Log", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step1.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 20, 149
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 15, 90
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step3.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step4.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 11, 63
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step5.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 80, 0, 1, 15, 96
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step6.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 35, 0, 2, 7, 44
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 10, 56
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\styled.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 20, 139
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\Apply.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 69, 0, 1, 10, 80
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\ApplyModal.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\Card.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 130, 0, 2, 21, 153
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\CardHeader.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\Detail\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\Detail\styled.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\LearnMore\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 21, 150
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\LearnMore\styled.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 12, 71
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\Progress.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\hooks.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\styled.js", "JavaScript", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 26, 195
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\FixedSwap\Detail.js", "JavaScript", 0, 397, 0, 0, 0, 0, 0, 0, 0, 0, 54, 451
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\FixedSwap\Hooks.js", "JavaScript", 0, 165, 0, 0, 0, 0, 0, 0, 0, 1, 35, 201
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Home\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 27, 216
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Home\styled.js", "JavaScript", 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 42, 335
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\InitPage.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 47, 0, 17, 14, 78
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Kyc\Step1.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 9, 65
